Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Year,Month,Label
0.3257497414684591,0.9689519065031733,10,0.9033273381294963,0,0.14539748953974896,0.00017652631355527109,9.522842639593907e-05,0.13123092573753817,0.5221774193548387,0.5006916415591306,2013,5,0
0.6938986556359874,0.4711808591508246,7,0.8186700639488409,1,0.02981171548117155,0.46285076924087126,0.0,0.18209562563580875,0.5282258064516129,0.6538428741970326,1999,8,0
0.5532574974146846,0.33897607393853074,5,0.651378896882494,0,0.032949790794979075,0.20883440404075987,0.0008974619289340101,0.23804679552390642,0.38104838709677413,0.6623462755575767,1994,9,0
0.4974146845915201,0.8207222988409044,2,0.838054556354916,1,0.0397489539748954,0.015259877516722361,0.0003411167512690355,0.10986775178026452,0.31955645161290325,0.6766812574612017,1997,1,0
0.7238883143743535,0.5643251396413043,1,0.8320843325339727,1,0.5585774058577406,0.8905621193406635,0.0,0.23194303153611395,0.6048387096774194,0.3087421598165728,2013,3,0
0.546018614270941,0.8798138316251873,11,0.8324340527577937,0,0.10115062761506276,0.01857313445411512,0.11573604060913706,0.8921668362156664,0.6441532258064516,0.5973651298959693,2009,1,0
0.7704239917269906,0.6234166724255872,7,0.8568145483613109,1,0.3472803347280335,0.011344210227076374,0.0,0.07690742624618516,0.5725806451612903,0.4742624069126257,2007,7,0
0.5604963805584281,0.27788143834800105,7,0.7442545963229416,1,0.04288702928870292,0.7831322731888378,0.0,0.11088504577822991,0.5040322580645161,0.47341443541204775,2017,7,0
0.37642192347466386,0.4591622423133433,4,0.8020583533173461,0,0.0407949790794979,0.08503907665272135,0.06335025380710659,0.09094608341810784,0.1935483870967742,0.3972012203209974,2007,6,0
0.717683557394002,0.881816934431434,1,0.8908623101518784,0,0.07332635983263598,0.015360279242097898,0.019898477157360404,0.08657171922685657,0.9314516129032259,0.5758342334148143,2005,4,1
0.29679420889348496,0.9959937943875061,10,0.897706834532374,0,0.27615062761506276,1.2871501193143986e-05,0.0499492385786802,0.16480162767039677,0.06512096774193549,0.590666628768499,2006,9,0
0.5997931747673215,0.9118634765251372,1,0.9055005995203836,1,0.06631799163179916,0.008412479846110663,0.0,0.24516785350966433,0.43649193548387094,0.5971140545354632,2007,1,1
0.8738366080661839,0.40708156935092454,7,0.6178307354116707,1,0.21234309623430964,0.0893563508438695,0.009999999999999998,0.22583926754832148,0.5806451612903226,0.486034525230705,1995,11,1
0.2988624612202688,0.9719565607125435,9,0.8699790167865706,0,0.153765690376569,0.00035122531570870737,0.0,0.12919633774160733,0.21975806451612903,0.4291446383567354,1999,9,0
0.5067218200620475,0.7315842239629184,3,0.7939898081534771,1,0.042991631799163176,0.6797184960520336,4.284263959390863e-05,0.23092573753814852,0.9717741935483871,0.7879123794364542,2009,6,0
0.5191313340227507,0.7706447286847325,6,0.8410771382893685,0,0.27719665271966526,0.01897474135561727,0.0,0.41709053916581895,0.36189516129032256,0.8232761071002216,2005,1,1
0.6887280248190277,0.7476090464128935,1,0.7935651478816945,1,0.037238493723849374,0.00043857481678542554,0.051776649746192886,0.6480162767039676,0.6935483870967741,0.5959202622553199,2007,11,0
0.6804550155118922,0.6885175136286106,5,0.8160221822541966,0,0.03106694560669456,0.19176611072691838,1.350253807106599e-06,0.1759918616480163,0.4274193548387097,0.681139029427927,1996,10,1
